PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
11,Ethan Onslow,Ethan,Ethan Ethan Onslow,TRUE,ethano@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,ethano@wideworldimporters.com,"{ ""OtherLanguages"": [] ,""HireDate"":""2011-12-17T00:00:00"",""Title"":""Warehouse Supervisor""}",[],1,42521.96806,2958466
12,Henry Forlonge,Henry,Henry Henry Forlonge,TRUE,henryf@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,henryf@wideworldimporters.com,"{ ""OtherLanguages"": [""Greek"",""Slovak""] ,""HireDate"":""2009-03-18T00:00:00"",""Title"":""Team Member""}","[""Greek"",""Slovak""]",1,42521.96806,2958466
13,Hudson Hollinworth,Hudson,Hudson Hudson Hollinworth,TRUE,hudsonh@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""black-tie"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsonh@wideworldimporters.com,"{ ""OtherLanguages"": [""Croatian""] ,""HireDate"":""2010-11-27T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""0.24""}","[""Croatian""]",1,42521.96806,2958466
14,Lily Code,Lily,Lily Lily Code,TRUE,lilyc@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,lilyc@wideworldimporters.com,"{ ""OtherLanguages"": [""Finnish"",""Bulgarian""] ,""HireDate"":""2010-06-06T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.98""}","[""Finnish"",""Bulgarian""]",1,42521.96806,2958466
15,Taj Shand,Taj,Taj Taj Shand,TRUE,tajs@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,tajs@wideworldimporters.com,"{ ""OtherLanguages"": [""Arabic"",""Greek""] ,""HireDate"":""2009-03-14T00:00:00"",""Title"":""Manager"",""PrimarySalesTerritory"":""Far West"",""CommissionRate"":""2.29""}","[""Arabic"",""Greek""]",1,42521.96806,2958466
16,Archer Lamble,Archer,Archer Archer Lamble,FALSE,archerl@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,archerl@wideworldimporters.com,"{ ""OtherLanguages"": [""Greek""] ,""HireDate"":""2009-05-13T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""1.88""}","[""Greek""]",1,42521.96806,2958466
17,Piper Koch,Piper,Piper Piper Koch,TRUE,piperk@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,piperk@wideworldimporters.com,"{ ""OtherLanguages"": [""Romanian"",""Portuguese""] ,""HireDate"":""2011-10-15T00:00:00"",""Title"":""Manager""}","[""Romanian"",""Portuguese""]",1,42521.96806,2958466
18,Katie Darwin,Katie,Katie Katie Darwin,TRUE,katied@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,katied@wideworldimporters.com,"{ ""OtherLanguages"": [""Estonian"",""Romanian""] ,""HireDate"":""2008-07-12T00:00:00"",""Title"":""Team Member""}","[""Estonian"",""Romanian""]",1,42521.96806,2958466
19,Jai Shand,Jai,Jai Jai Shand,TRUE,jais@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jais@wideworldimporters.com,"{ ""OtherLanguages"": [""Finnish"",""Dutch""] ,""HireDate"":""2011-11-13T00:00:00"",""Title"":""Team Member""}","[""Finnish"",""Dutch""]",1,42521.96806,2958466
20,Jack Potter,Jack,Jack Jack Potter,TRUE,jackp@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jackp@wideworldimporters.com,"{ ""OtherLanguages"": [""Arabic""] ,""HireDate"":""2009-05-29T00:00:00"",""Title"":""General Manager"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.97""}","[""Arabic""]",1,42521.96806,2958466
21,Reio Kabin,Reio,Reio Reio Kabin,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,reio@adatum.com,,,1,42521.96806,2958466
22,Oliver Kivi,Olly,Olly Oliver Kivi,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,olly@adatum.com,,,1,42521.96806,2958466
23,Hanna Mihhailov,Hanna,Hanna Hanna Mihhailov,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""humanity"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,hannam@contoso.com,,,1,42521.96806,2958466
24,Paulus Lippmaa,Paulus,Paulus Paulus Lippmaa,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,paulusl@contoso.com,,,1,42521.96806,2958466
25,Kerstin Parn,Kerstin,Kerstin Kerstin Parn,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,kerstin@consolidatedmessenger.com,,,1,42521.96806,2958466
26,Helen Ahven,Helen,Helen Helen Ahven,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,helen@consolidatedmessenger.com,,,1,42521.96806,2958466
27,Bill Lawson,Bill,Bill Bill Lawson,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(203) 555-0107,(203) 555-0107,billl@fabrikam.com,,,1,42521.96806,2958466
28,Helen Moore,Helen,Helen Helen Moore,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(203) 555-0104,(203) 555-0107,helenm@fabrikam.com,,,1,42521.96806,2958466
29,Penny Buck,Penny,Penny Penny Buck,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0107,(406) 555-0109,pennyb@graphicdesigninstitute.com,,,1,42521.96806,2958466
30,Donna Smith,Donna,Donna Donna Smith,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0101,(406) 555-0109,donnas@graphicdesigninstitute.com,,,1,42521.96806,2958466
31,Madelaine  Cartier,Madelaine,Madelaine Madelaine  Cartier,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""dark-hive"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0100,madelainec@humongousinsurance.com,,,1,42521.96806,2958466
32,Annette Talon,Annette,Annette Annette Talon,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(423) 555-0106,(423) 555-0100,annettet@humongousinsurance.com,,,1,42521.96806,2958466
33,Elias Myllari,Elias,Elias Elias Myllari,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""le-frog"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0101,(209) 555-0106,eliasm@litwareinc.com,,,1,42521.96806,2958466
34,Vilma Niva,Vilma,Vilma Vilma Niva,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""black-tie"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0103,(209) 555-0106,vilman@litwareinc.com,,,1,42521.96806,2958466
35,Prem Prabhu,Prem,Prem Prem Prabhu,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(423) 555-0102,(423) 555-0108,premp@lucernepublishing.com,,,1,42521.96806,2958466
36,Sunita Jadhav,Sunita,Sunita Sunita Jadhav,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0108,sunitaj@lucernepublishing.com,,,1,42521.96806,2958466
37,Marcos Costa,Marcos,Marcos Marcos Costa,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(252) 555-0106,(252) 555-0101,marcosc@nodpublishers.com,,,1,42521.96806,2958466
38,Matheus Oliveira,Matheus,Matheus Matheus Oliveira,TRUE,matheuso@nodpublishers.com,FALSE,TRUE,FALSE,FALSE,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(252) 555-0107,(252) 555-0101,matheuso@nodpublishers.com,,,1,42521.96806,2958466
39,Eliza Soderberg,Eliza,Eliza Eliza Soderberg,TRUE,elizas@northwindelectriccars.com,FALSE,TRUE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0101,(201) 555-0106,elizas@northwindelectriccars.com,,,1,42521.96806,2958466
40,Sara Karlsson,Sara,Sara Sara Karlsson,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0100,(201) 555-0106,sarak@northwindelectriccars.com,,,1,42521.96806,2958466
41,Donald Jones,Donald,Donald Donald Jones,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""black-tie"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(605) 555-0101,(605) 555-0101,donaldj@treyresearch.net,,,1,42521.96806,2958466
42,Sharon Graham,Sharon,Sharon Sharon Graham,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(605) 555-0106,(605) 555-0101,sharong@treyresearch.net,,,1,42521.96806,2958466
43,Hai Dam,Hai,Hai Hai Dam,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""blitzer"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0101,(218) 555-0108,haid@thephone-company.com,,,1,42521.96806,2958466
44,Thanh Dinh,Thanh,Thanh Thanh Dinh,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0104,(218) 555-0108,thanhd@thephone-company.com,,,1,42521.96806,2958466
45,Hubert Helms,Hubert,Hubert Hubert Helms,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0103,(415) 555-0104,huberth@woodgrovebank.com,,,1,42521.96806,2958466
46,Donald Small,Donald,Donald Donald Small,FALSE,NO LOGON,FALSE,TRUE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0105,(415) 555-0104,donalds@woodgrovebank.com,,,1,42521.96806,2958466
1001,Waldemar Fisar,Waldemar,Waldemar Waldemar Fisar,TRUE,waldemar@tailspintoys.com,FALSE,FALSE,FALSE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(308) 555-0100,(308) 555-0101,waldemar@tailspintoys.com,,,1,42521.96806,2958466
1002,Laimonis Berzins,Laimonis,Laimonis Laimonis Berzins,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(308) 555-0100,(308) 555-0101,laimonis@tailspintoys.com,,,1,41275,2958466
1003,Lorena Cindric,Lorena,Lorena Lorena Cindric,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(406) 555-0100,(406) 555-0101,lorena@tailspintoys.com,,,1,41275,2958466
1004,Hung Van Groesen,Hung,Hung Hung Van Groesen,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(406) 555-0100,(406) 555-0101,hung@tailspintoys.com,,,1,41275,2958466
1005,Bhaargav Rambhatla,Bhaargav,Bhaargav Bhaargav Rambhatla,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(480) 555-0100,(480) 555-0101,bhaargav@tailspintoys.com,,,1,41275,2958466
1006,Mudar Jevtic,Mudar,Mudar Mudar Jevtic,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(480) 555-0100,(480) 555-0101,mudar@tailspintoys.com,,,1,41275,2958466
1007,Daniel Roman,Daniel,Daniel Daniel Roman,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(316) 555-0100,(316) 555-0101,daniel@tailspintoys.com,,,1,41275,2958466
1008,Leyla Radnia,Leyla,Leyla Leyla Radnia,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(316) 555-0100,(316) 555-0101,leyla@tailspintoys.com,,,1,41275,2958466
1009,Johanna Huiting,Johanna,Johanna Johanna Huiting,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(212) 555-0100,(212) 555-0101,johanna@tailspintoys.com,,,1,41275,2958466
1010,Robert Ruutli,Robert,Robert Robert Ruutli,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(212) 555-0100,(212) 555-0101,robert@tailspintoys.com,,,1,41275,2958466
1011,Biswajeet Thakur,Biswajeet,Biswajeet Biswajeet Thakur,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(701) 555-0100,(701) 555-0101,biswajeet@tailspintoys.com,,,1,41275,2958466
1012,Radha Shah,Radha,Radha Radha Shah,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(701) 555-0100,(701) 555-0101,radha@tailspintoys.com,,,1,41275,2958466
1013,Kalidas Nadar,Kalidas,Kalidas Kalidas Nadar,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(423) 555-0100,(423) 555-0101,kalidas@tailspintoys.com,,,1,41275,2958466
1014,Filip Nedvidek,Filip,Filip Filip Nedvidek,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(423) 555-0100,(423) 555-0101,filip@tailspintoys.com,,,1,41275,2958466
1015,Kanti Kotadia,Kanti,Kanti Kanti Kotadia,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(303) 555-0100,(303) 555-0101,kanti@tailspintoys.com,,,1,41275,2958466
1016,Hoa Cu,Hoa,Hoa Hoa Cu,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(303) 555-0100,(303) 555-0101,hoa@tailspintoys.com,,,1,41275,2958466
1017,Sointu Aalto,Sointu,Sointu Sointu Aalto,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(201) 555-0100,(201) 555-0101,sointu@tailspintoys.com,,,1,41275,2958466
1018,Jae-Gon Min,Jae-Gon,Jae-Gon Jae-Gon Min,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(201) 555-0100,(201) 555-0101,jae-gon@tailspintoys.com,,,1,41275,2958466
1019,Siddhartha Parkar,Siddhartha,Siddhartha Siddhartha Parkar,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(701) 555-0100,(701) 555-0101,siddhartha@tailspintoys.com,,,1,41275,2958466
1020,Paula Matos,Paula,Paula Paula Matos,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(701) 555-0100,(701) 555-0101,paula@tailspintoys.com,,,1,41275,2958466
1021,Elnaz Javan,Elnaz,Elnaz Elnaz Javan,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(215) 555-0100,(215) 555-0101,elnaz@tailspintoys.com,,,1,41275,2958466
1022,Jayashish Ghatak,Jayashish,Jayashish Jayashish Ghatak,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(215) 555-0100,(215) 555-0101,jayashish@tailspintoys.com,,,1,41275,2958466
1023,Heloisa Fernandes,Heloisa,Heloisa Heloisa Fernandes,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(218) 555-0100,(218) 555-0101,heloisa@tailspintoys.com,,,1,41275,2958466
1024,Amornrat Rattanaporn,Amornrat,Amornrat Amornrat Rattanaporn,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,,(218) 555-0100,(218) 555-0101,amornrat@tailspintoys.com,,,1,41275,2958466
